concentration,velocity,scale,logscale
0,0,102.5779152,2.011053868
0,0,111.8700253,2.048713736
0,0,116.0545548,2.06466219
0,0,114.2933301,2.058020887
0,0,111.4855294,2.047218501
0,0,107.7692338,2.032494795
0,0,109.8936709,2.040972681
0,0,96.80152381,1.985882194
0,0,118.3293942,2.073092641
0,0,105.0526106,2.021406849
0,0,113.7405266,2.055915235
0,0,89.51690583,1.951905062
0,0,101.4391847,2.00620575
0,0,120.5619898,2.081210407
0,0,100.5807507,2.002514873
0,0,124.756974,2.096064832
0,0,109.628539,2.039923626
0,0,121.7530186,2.085479737
0,0,118.0607821,2.072105656
0,0,123.9077015,2.093098301
0,0,117.4512632,2.069857692
0,0,110.8809806,2.044857058
0,0,114.8910231,2.060286097
0,0,124.3654805,2.094699852
0,1,103.7667324,2.016058141
0,1,94.69227936,1.976314571
0,1,87.21766553,1.940604458
0,1,90.63495791,1.957295737
0,1,88.00505085,1.944507598
0,1,81.18854723,1.90949477
0,1,80.91225963,1.90801433
0,1,83.46380561,1.921498183
0,1,78.84419804,1.89676974
0,1,79.62507169,1.901049836
0,1,75.5647709,1.87831937
0,1,74.62818261,1.872902866
0,1,75.71154313,1.879162098
0,1,73.98213948,1.869126886
0,1,71.97301835,1.857169716
0,1,68.72545432,1.837117619
0,1,69.20848426,1.840159338
1,0,56.13921341,1.749266323
1,0,56.44706024,1.751641329
1,0,54.47731187,1.73621567
1,0,61.55264846,1.789246744
1,0,52.51472246,1.720281075
1,0,58.17953408,1.764770239
1,0,45.60377609,1.659000805
1,0,50.15080505,1.700277909
1,0,51.12972535,1.70867346
1,0,44.52550883,1.648608891
1,0,55.3735521,1.743302384
1,0,51.81755285,1.714476899
1,0,54.34986396,1.735198461
1,1,57.45598638,1.759335285
1,1,57.93320438,1.762927551
1,1,57.10260905,1.756655952
1,1,57.72928822,1.761396203
1,1,53.35424,1.727168938
1,1,52.23124385,1.717930368
1,1,50.19990297,1.700702878
1,1,48.34767423,1.684375587
1,1,53.71782444,1.730118416
1,1,48.22860449,1.683304696
1,1,48.00289892,1.681267465
1,1,46.75683715,1.669845126
1,1,48.14350842,1.682537736
1,1,48.50852822,1.685818098
1,1,43.04214357,1.633893892
1,1,49.30958503,1.692931348
1,1,44.06807471,1.644124077
1,1,47.22318474,1.674155273
1,1,49.20880562,1.692042824
1,1,47.09960869,1.673017299
1,1,41.60898905,1.619187164
1,1,48.22928898,1.683310859
1,1,43.57969385,1.639284175
1,1,43.19370345,1.635420442
1,1,48.38605077,1.684720177
1,1,44.99033656,1.653119242
1,1,44.8760111,1.652014247
1,1,38.40734317,1.584414266
1,1,43.90897279,1.642553277
